YEAR,CHN,EUN,ROW,USA,BRA,IND
2016,6.644477829,0.903421436,1,1,3.491313422,67.19531281
2017,6.758755086,0.885205508,1,1,3.191389446,65.12156865
2018,6.615957177,0.846772667,1,1,3.653825361,68.38946709
2019,6.90838501,0.893276257,1,1,3.944471097,70.42034054
2020,6.900767269,0.875506397,1,1,5.155178788,74.09956688
2021,6.44897518,0.845494139,1,1,5.39440079,73.91801282
2022,6.737158112,0.949623753,1,1,5.163970291,78.60449058
2023,7.035498137,0.898302691,1,1,5.029605089,81.72728249
2024,6.732223754,0.87132797,1,1,4.99316498,80.1396592
2025,6.605062315,0.859098698,1,1,5.020460851,78.98702967
2026,6.514646637,0.852258599,1,1,5.018517743,78.09493678
2027,6.507040059,0.849987794,1,1,5.025153273,76.6990972
2028,6.487518939,0.845737855,1,1,5.02012812,75.62530984
2029,6.468056382,0.841509165,1,1,5.015107992,74.5665555
2030,6.448652213,0.83730162,1,1,5.010092884,73.52262372
2031,6.409457852,0.836486791,1,1,4.973216376,73.48320249
2032,6.37050171,0.835672755,1,1,4.936611295,73.4438024
2033,6.331782341,0.834859511,1,1,4.900275643,73.40442344
2034,6.293298305,0.834047058,1,1,4.864207439,73.36506559
2035,6.255048172,0.833235397,1,1,4.828404712,73.32572884
2036,6.21703052,0.832424525,1,1,4.792865509,73.28641319
2037,6.179243935,0.831614442,1,1,4.757587891,73.24711861
2038,6.141687015,0.830805147,1,1,4.722569931,73.20784511
2039,6.104358362,0.82999664,1,1,4.687809719,73.16859266
2040,6.06725659,0.82918892,1,1,4.653305358,73.12936125
2041,6.034067946,0.82846268,1,1,4.622480004,73.09407192
2042,6.001060848,0.827737075,1,1,4.591858849,73.05879962
2043,5.968234303,0.827012106,1,1,4.561440541,73.02354434
2044,5.935587323,0.826287772,1,1,4.531223736,72.98830607
2045,5.903118926,0.825564072,1,1,4.501207099,72.95308481
2046,5.870828136,0.824841006,1,1,4.471389304,72.91788054
2047,5.83871398,0.824118574,1,1,4.441769034,72.88269326
2048,5.806775492,0.823396774,1,1,4.412344981,72.84752297
2049,5.775011712,0.822675606,1,1,4.383115844,72.81236964
2050,5.743421684,0.82195507,1,1,4.354080333,72.77723328
2051,5.71514618,0.821307156,1,1,4.328121482,72.74562581
2052,5.687009879,0.820659752,1,1,4.302317396,72.71403207
2053,5.659012096,0.820012859,1,1,4.276667153,72.68245205
2054,5.63115215,0.819366475,1,1,4.251169836,72.65088575
2055,5.603429361,0.818720601,1,1,4.225824533,72.61933315
2056,5.575843054,0.818075236,1,1,4.200630337,72.58779426
2057,5.548392558,0.81743038,1,1,4.175586349,72.55626907
2058,5.521077204,0.816786032,1,1,4.150691671,72.52475757
2059,5.493896327,0.816142192,1,1,4.125945415,72.49325975
2060,5.466849264,0.81549886,1,1,4.101346694,72.46177562
2061,5.442626747,0.814920317,1,1,4.079339837,72.4334522
2062,5.418511555,0.814342185,1,1,4.057451063,72.40513986
2063,5.394503213,0.813764463,1,1,4.03567974,72.37683858
2064,5.370601248,0.81318715,1,1,4.014025236,72.34854836
2065,5.346805187,0.812610248,1,1,3.992486925,72.3202692
2066,5.323114561,0.812033754,1,1,3.971064183,72.2920011
2067,5.299528904,0.81145767,1,1,3.949756391,72.26374404
2068,5.276047751,0.810881994,1,1,3.928562932,72.23549803
2069,5.252670638,0.810306727,1,1,3.907483191,72.20726306
2070,5.229397104,0.809731867,1,1,3.88651656,72.17903913
2071,5.208543731,0.809214861,1,1,3.867747843,72.15364751
2072,5.187773516,0.808698185,1,1,3.849069764,72.12826483
2073,5.167086127,0.808181838,1,1,3.830481885,72.10289108
2074,5.146481234,0.807665822,1,1,3.811983771,72.07752626
2075,5.125958507,0.807150135,1,1,3.793574987,72.05217036
2076,5.105517619,0.806634777,1,1,3.775255102,72.02682338
2077,5.085158243,0.806119748,1,1,3.757023688,72.00148531
2078,5.064880055,0.805605048,1,1,3.738880317,71.97615616
2079,5.044682731,0.805090677,1,1,3.720824563,71.95083592
2080,5.024565948,0.804576634,1,1,3.702856005,71.92552459
