COUNTRY,PWD,PPD,PCS,MI,PSE,EXCH,DUTY,PWDBE,PCSBE
CHN,100,1049.4,1089,-6,1,6.6,65,100,660
JPN,100,16972.8,16320,6,1,108.8,50,100,10880
KOR,100,619270.668,613468.668,5,1,1160.4,428.67,100,116040
MEX,100,2187.9,2561.9,-20,1,18.7,37,100,1870
EUN,100,118.44,94,26,1,0.94,0,100,94
ROW,100,100,100,0,1,1,0,100,100
USA,100,100.5,100.5,0,1,1,0.5,100,100
ARG,100,1447.44,1536.24,-6,1,14.8,3.8,100,1480
BRA,100,596.155,519.155,22,1,3.5,48.33,100,350
UKR,100,1422.522858,1504.591484,-6,1,13.6781044,10,100,1367.81044
IND,100,7349.971695,7636.334229,-6,1,47.72708893,60,100,4772.708893
RUS,100,4277.384399,4550.408936,-6,1,45.50408936,0,100,4550.408936
